音乐-全音符𝅝 .yl-qyf
数学-三分之一⅓ .sx-sfzy
数学-三分之二⅔ .sx-sfze
数学-五分之一⅕ .sx-wfzy
数学-五分之二⅖ .sx-wfze
数学-五分之三⅗ .sx-wfzs
数学-五分之四⅘ .sx-wfzs
数学-六分之一⅙ .sx-lfzy
数学-六分之五⅚ .sx-lfzw
数学-八分之一⅛ .sx-bfzy
数学-八分之三⅜ .sx-bfzs
数学-八分之五⅝ .sx-bfzw
数学-八分之七⅞ .sx-bfzq
数学-阿尔法α .sx-aef
数学-贝塔β .sx-bt
数学-伽玛γ .sx-qm
数学-德尔塔δ .sx-det
数学-艾普西龙ε .sx-apxl
数学-捷塔ζ .sx-jt
数学-依塔η .sx-yt
数学-西塔θ .sx-xt
数学-缪μ .sx-m
数学-派π .sx-p
数学-套τ .sx-t
数学-普赛ψ .sx-ps
数学-欧米伽ω .sx-omq
货币-人民币¥ .hb-rmb
货币-元¥ .hb-y
货币-日元￥ .hb-ry
货币-美分￠ .hb-mf
货币-美元＄ .hb-my
货币-英镑￡ .hb-yb
货币-欧元€ .hb-oy
货币-朝鲜元₩ .hb-zxy
货币-韩元₩ .hb-hy
汉字-点丶 .hz-d
汉字-横一 .hz-h
汉字-竖丨 .hz-s
汉字-撇丿 .hz-p
汉字-捺㇏ .hz-n
汉字-提㇀ .hz-t
汉字-横折㇕ .hz-hz
汉字-横撇フ .hz-hp
汉字-横钩乛 .hz-hg
汉字-横折钩 .hz-hzg
汉字-横折提㇊ .hz-hzt
汉字-横折弯㇍ .hz-hzw
汉字-横折折㇅ .hz-hzz
汉字-横斜钩⺄ .hz-hxg
汉字-横折弯钩㇈ .hz-hzwg
汉字-横撇弯钩㇌ .hz-hpwg
汉字-横折折撇㇋ .hz-hzzp
汉字-横折折折钩𠄎 .hz-hzzzg
汉字-横折折折㇎ .hz-hzzz
汉字-竖提𠄌 .hz-st
汉字-竖折𠃊 .hz-sz
汉字-竖钩亅 .hz-sg
汉字-竖弯㇄ .hz-sw
汉字-竖弯钩乚 .hz-swg
汉字-竖折撇ㄣ .hz-szp
汉字-竖折折𠃑 .hz-szz
汉字-竖折折钩㇉ .hz-szzg
汉字-撇点𡿨 .hz-pd
汉字-撇折𠃋 .hz-pz
汉字-斜钩㇂ .hz-xg
汉字-弯钩㇁ .hz-wg
汉字-卧钩㇃ .hz-wg
